indice_tiempo,evolucion_mensual_ventas_grupos_articulos_total,evolucion_mensual_ventas_grupos_articulosalimentos_bebidas,evol_mensual_ventas_articulosarticulos_limpieza_perfumeria,evol_mensual_ventas_articulos_indumentaria_calzado_textiles,evol_mensual_ventas_articulos_electronicos_articulos_hogar,evolucion_mensual_ventas_grupos_articulos_otros
2004-01-01,1387048.0,961448.0,220995.0,34231.0,63333.0,107041.0
2004-02-01,1396486.0,980066.0,215865.0,35836.0,53827.0,110892.0
2004-03-01,1451252.0,1030053.0,222676.0,34495.0,56517.0,107511.0
2004-04-01,1468286.0,1061797.0,217307.0,37990.0,58017.0,93175.0
2004-05-01,1461202.0,1039792.0,215063.0,43403.0,69095.0,93849.0
2004-06-01,1423438.0,1014647.0,205129.0,39593.0,70665.0,93404.0
2004-07-01,1553311.0,1097916.0,225727.0,44972.0,73540.0,111156.0
2004-08-01,1516805.0,1063100.0,219823.0,38433.0,74662.0,120787.0
2004-09-01,1437883.0,1025415.0,215786.0,33031.0,67985.0,95666.0
2004-10-01,1627785.0,1127044.0,241658.0,40736.0,106434.0,111913.0
2004-11-01,1476899.0,1042161.0,223136.0,36225.0,77043.0,98334.0
2004-12-01,2054252.0,1437159.0,275175.0,57408.0,118210.0,166300.0
2005-01-01,1590406.0,1070060.0,255174.0,43707.0,96568.0,124897.0
2005-02-01,1495256.0,1030670.0,235330.0,40841.0,69037.0,119378.0
2005-03-01,1687782.0,1188892.0,254730.0,41441.0,77704.0,125015.0
2005-04-01,1680171.0,1175785.0,260691.0,43607.0,90211.0,109877.0
2005-05-01,1630592.0,1141154.0,243531.0,43479.0,91254.0,111174.0
2005-06-01,1644658.0,1149011.0,246262.0,45517.0,93470.0,110398.0
2005-07-01,1819507.0,1239249.0,272808.0,51221.0,107232.0,148997.0
2005-08-01,1712953.0,1172658.0,256234.0,41307.0,91904.0,150850.0
2005-09-01,1681361.0,1172408.0,258413.0,39655.0,82675.0,128210.0
2005-10-01,1874515.0,1263426.0,287380.0,48458.0,126099.0,149152.0
2005-11-01,1775147.0,1206151.0,277798.0,45344.0,109356.0,136498.0
2005-12-01,2325308.0,1591510.0,318865.0,65771.0,139525.0,209637.0
2006-01-01,1829559.0,1183432.0,296705.0,54348.0,115551.0,171326.0
2006-02-01,1763972.0,1169459.0,278926.0,48708.0,96361.0,159785.0
2006-03-01,1945902.0,1298964.0,305607.0,51925.0,110421.0,165241.0
2006-04-01,2046773.0,1384854.0,311940.0,60560.0,119385.0,153684.0
2006-05-01,1925896.0,1269401.0,287460.0,61319.0,147520.0,145808.0
2006-06-01,1990134.0,1325201.0,297099.0,60996.0,143827.0,151235.0
2006-07-01,2116279.0,1417710.0,326526.0,69065.0,114675.0,175357.0
2006-08-01,2043476.0,1385708.0,313946.0,52939.0,100804.0,179159.0
2006-09-01,2054142.0,1424452.0,326933.0,44659.0,89265.0,157132.0
2006-10-01,2160192.0,1466898.0,340697.0,47013.0,123028.0,171846.0
2006-11-01,2099873.0,1460166.0,331098.0,43667.0,87857.0,165740.0
2006-12-01,2880266.0,2011308.0,399521.0,66518.0,127807.0,261427.0
2007-01-01,2214779.0,1450677.0,356035.0,62869.0,117139.0,219402.0
2007-02-01,2161013.0,1436698.0,336530.0,57414.0,107834.0,213215.0
2007-03-01,2503778.0,1685341.0,389143.0,69673.0,121192.0,223408.0
2007-04-01,2448919.0,1664413.0,368635.0,72621.0,129305.0,200146.0
2007-05-01,2405257.0,1621928.0,351155.0,78621.0,144478.0,195231.0
2007-06-01,2603871.0,1772805.0,369730.0,78860.0,156726.0,209009.0
2007-07-01,2706194.0,1840288.0,373334.0,81811.0,161508.0,234929.0
2007-08-01,2782942.0,1909679.0,377292.0,68228.0,152106.0,261131.0
2007-09-01,2807717.0,1930432.0,393767.0,68860.0,158496.0,237259.0
2007-10-01,2913218.0,1972050.0,408890.0,72846.0,195746.0,250267.0
2007-11-01,2877486.0,1982186.0,402651.0,68806.0,143553.0,265738.0
2007-12-01,3885553.0,2647969.0,476705.0,106559.0,217629.0,416538.0
2008-01-01,3023487.0,1998849.0,431222.0,81957.0,189605.0,310332.0
2008-02-01,3082483.0,2082192.0,429105.0,78490.0,156584.0,322623.0
2008-03-01,3521306.0,2448784.0,476318.0,85831.0,173139.0,321041.0
2008-04-01,3244770.0,2267520.0,444521.0,87089.0,177297.0,268343.0
2008-05-01,3462031.0,2411587.0,462495.0,100985.0,202494.0,284470.0
2008-06-01,3439756.0,2390774.0,441198.0,103986.0,216893.0,286905.0
2008-07-01,3545598.0,2482658.0,471420.0,99821.0,180787.0,310912.0
2008-08-01,3785241.0,2643113.0,497079.0,92712.0,190719.0,361618.0
2008-09-01,3547515.0,2514862.0,473528.0,78545.0,182357.0,298223.0
2008-10-01,3873591.0,2688041.0,523227.0,89072.0,246833.0,326418.0
2008-11-01,3919915.0,2712017.0,546495.0,89558.0,228265.0,343580.0
2008-12-01,4763833.0,3345544.0,577882.0,112628.0,244751.0,483028.0
2009-01-01,3836771.0,2626980.0,550787.0,92078.0,185563.0,381363.0
2009-02-01,3617194.0,2438984.0,547379.0,86149.0,160933.0,383749.0
2009-03-01,3984448.0,2744722.0,594718.0,85747.0,192159.0,367102.0
2009-04-01,3970675.0,2793194.0,564918.0,95970.0,163205.0,353388.0
2009-05-01,4024766.0,2753794.0,603883.0,120915.0,204239.0,341935.0
2009-06-01,3907118.0,2674570.0,575586.0,116662.0,217300.0,323000.0
2009-07-01,4253343.0,2895547.0,627707.0,113502.0,234271.0,382316.0
2009-08-01,4250433.0,2895945.0,622238.0,98252.0,219154.0,414844.0
2009-09-01,3955095.0,2737924.0,591862.0,85765.0,189251.0,350293.0
2009-10-01,4424209.0,2994881.0,655433.0,98468.0,270529.0,404898.0
2009-11-01,4328338.0,2949068.0,652899.0,95840.0,245115.0,385416.0
2009-12-01,5536821.0,3815941.0,732630.0,129993.0,288665.0,569592.0
2010-01-01,4669607.0,3091998.0,717370.0,106005.0,275044.0,479190.0
2010-02-01,4481016.0,3025174.0,659196.0,99797.0,214738.0,482111.0
2010-03-01,4946662.0,3429876.0,710567.0,100312.0,279668.0,426239.0
2010-04-01,4938943.0,3426135.0,690985.0,116016.0,291153.0,414654.0
2010-05-01,5215448.0,3510018.0,708802.0,142993.0,420600.0,433035.0
2010-06-01,5172293.0,3533240.0,688975.0,133924.0,384120.0,431387.0
2010-07-01,5511210.0,3713533.0,776074.0,153438.0,333942.0,534223.0
2010-08-01,5419675.0,3629379.0,776992.0,129047.0,305445.0,578812.0
2010-09-01,5220043.0,3573277.0,774641.0,115984.0,269477.0,486664.0
2010-10-01,5841716.0,3910588.0,839748.0,134657.0,411526.0,545197.0
2010-11-01,5627853.0,3797204.0,825414.0,124572.0,336938.0,543725.0
2010-12-01,7448224.0,4938303.0,943188.0,188723.0,528878.0,849132.0
2011-01-01,5992887.0,3855852.0,905060.0,154366.0,391382.0,686227.0
2011-02-01,5631785.0,3704739.0,825941.0,146603.0,298002.0,656500.0
2011-03-01,6314185.0,4253241.0,928874.0,155224.0,344430.0,632416.0
2011-04-01,6502632.0,4464835.0,908851.0,175974.0,337484.0,615488.0
2011-05-01,6304644.0,4212430.0,898838.0,193231.0,378993.0,621152.0
2011-06-01,6568026.0,4349306.0,901695.0,211514.0,471967.0,633544.0
2011-07-01,7181001.0,4726132.0,999614.0,223919.0,485268.0,746068.0
2011-08-01,6995383.0,4626500.0,952315.0,176612.0,469012.0,770944.0
2011-09-01,6810108.0,4608059.0,988951.0,161578.0,384276.0,667244.0
2011-10-01,7418351.0,4883742.0,1057145.0,185018.0,550542.0,741904.0
2011-11-01,7335712.0,4843235.0,1046713.0,176275.0,528758.0,740731.0
2011-12-01,9277338.0,6172935.0,1154836.0,243479.0,629285.0,1076803.0
2012-01-01,7630134.0,4852159.0,1117723.0,202922.0,545470.0,911860.0
2012-02-01,7529642.0,4902032.0,1071432.0,202219.0,432898.0,921061.0
2012-03-01,8051017.0,5434261.0,1167309.0,193946.0,470549.0,784952.0
2012-04-01,8202183.0,5615550.0,1148081.0,233313.0,489776.0,715463.0
2012-05-01,7742865.0,5270653.0,1088681.0,220379.0,475407.0,687745.0
2012-06-01,8426822.0,5613595.0,1162216.0,262959.0,650481.0,737571.0
2012-07-01,8766221.0,5818325.0,1207455.0,263475.0,591199.0,885767.0
2012-08-01,8843043.0,5889435.0,1221215.0,229140.0,559339.0,943914.0
2012-09-01,8789482.0,5953383.0,1278601.0,219046.0,519905.0,818547.0
2012-10-01,9073028.0,6058725.0,1306202.0,218378.0,663179.0,826544.0
2012-11-01,9201188.0,6137367.0,1334470.0,221617.0,623656.0,884078.0
2012-12-01,11739267.0,7822968.0,1454499.0,298259.0,827374.0,1336167.0
2013-01-01,9480164.0,6175257.0,1368584.0,253404.0,607406.0,1075513.0
2013-02-01,9222264.0,6021722.0,1305429.0,239161.0,547364.0,1108588.0
2013-03-01,10280981.0,6982522.0,1425315.0,267097.0,576963.0,1029084.0
2013-04-01,9548849.0,6466581.0,1374802.0,261744.0,548164.0,897558.0
2013-05-01,9919748.0,6635097.0,1380920.0,307120.0,680378.0,916233.0
2013-06-01,10808037.0,7105613.0,1475657.0,363628.0,851382.0,1011757.0
2013-07-01,10912374.0,7200008.0,1479853.0,345630.0,823052.0,1063831.0
2013-08-01,11380649.0,7536486.0,1554618.0,301144.0,796354.0,1192047.0
2013-09-01,10794230.0,7310430.0,1534482.0,276836.0,721606.0,950876.0
2013-10-01,11545468.0,7735898.0,1598285.0,303729.0,856557.0,1050999.0
2013-11-01,12312314.0,8158265.0,1675093.0,308547.0,971980.0,1198429.0
2013-12-01,15505006.0,10127644.0,1822142.0,410274.0,1285409.0,1859537.0
2014-01-01,12815787.0,8314829.0,1810539.0,321410.0,977647.0,1391362.0
2014-02-01,12164152.0,8227497.0,1742679.0,306078.0,568861.0,1319037.0
2014-03-01,13962389.0,9480066.0,1965683.0,353008.0,793538.0,1370094.0
2014-04-01,13697743.0,9425486.0,1860376.0,355047.0,851418.0,1205416.0
2014-05-01,14480412.0,9489168.0,1942428.0,400984.0,1376716.0,1271116.0
2014-06-01,14623958.0,9584652.0,1930535.0,438874.0,1338956.0,1330941.0
2014-07-01,14756402.0,10013879.0,2021070.0,445867.0,857474.0,1418112.0
2014-08-01,15666564.0,10496135.0,2161059.0,404706.0,914502.0,1690162.0
2014-09-01,14585287.0,10012362.0,2035701.0,340646.0,837967.0,1358611.0
2014-10-01,16343929.0,10820483.0,2275020.0,416590.0,1256099.0,1575737.0
2014-11-01,17289652.0,11043898.0,2324655.0,428178.0,1582962.0,1909959.0
2014-12-01,20450742.0,13293974.0,2452442.0,596577.0,1399764.0,2707985.0
2015-01-01,17000970.939,10912216.939,2507798.371,465603.5079999999,1159174.8630000001,1956177.2580000001
2015-02-01,16239053.462000003,10570177.202,2345540.4409999996,430419.6600000001,969433.0199999999,1923483.1390000002
2015-03-01,17561233.984,11697901.606000002,2555414.5959999994,459184.633,1057661.033,1791072.116
2015-04-01,17334820.59,11738798.265,2481087.7550000004,465942.34199999995,1025196.973,1623795.2550000004
2015-05-01,18256247.707,11882749.191,2658499.633,592793.296,1308669.627,1813535.9600000004
2015-06-01,18137009.545,11742222.05,2556888.073000001,619011.958,1474385.2319999996,1744502.2320000003
2015-07-01,19332725.066999994,12621567.373,2754361.5410000007,641775.562,1335985.4130000002,1979035.178
2015-08-01,19999700.763999995,12842880.751,2842925.6610000003,581413.951,1381096.622,2351383.779
2015-09-01,18195206.769,12176198.431,2676764.1450000005,470293.314,1167653.4640000002,1704297.4150000003
2015-10-01,20486553.800999995,13372333.86,2923216.5529999994,552010.436,1543293.6780000003,2095699.2740000002
2015-11-01,21672105.346999995,13184043.834,2989071.6769999997,638984.133,2355669.6059999997,2504336.0969999996
2015-12-01,26046744.272000007,16521660.548999999,3250142.2920000004,775781.586,2046111.088,3453048.7569999998
2016-01-01,21698112.807,13844259.651,3611430.1019999995,596564.2599999999,1476173.3159999999,2169685.478
2016-02-01,21087266.455999997,13691335.63,3402744.853,566982.221,1248214.738,2177989.014
2016-03-01,22265468.182,15030544.507000001,3564167.4310000013,533291.754,1384102.5280000002,1753361.962
2016-04-01,22075328.018000003,14708308.344,3559321.18,668895.209,1465071.479,1673731.8059999996
2016-05-01,22290984.1,14867884.000999998,3467563.7770000007,698852.523,1585602.8950000005,1671080.9039999999
2016-06-01,23107544.466000002,15479233.222000003,3452472.2759999996,759969.686,1638350.531,1777518.7509999997
2016-07-01,25200270.778,16831002.044999998,3753965.8500000006,884751.6350000001,1688020.03,2042531.2179999999
2016-08-01,24297751.691999998,16211076.915000001,3607540.1509999996,615128.633,1466718.7100000002,2397287.2830000003
2016-09-01,23665192.836000003,16284065.720999999,3688599.265,550149.5160000001,1359903.9579999999,1782474.3759999997
2016-10-01,25833445.358,17185425.525999997,3900583.5599999996,666921.435,1986792.2400000005,2093722.5969999998
2016-11-01,26640452.036999993,17264515.539,3934105.2359999996,704282.798,2336180.783,2401367.6810000003
2016-12-01,32512756.008,21305337.893999998,4325872.275,1001877.096,2323002.986,3556665.7569999998
2017-01-01,26427998.246999998,16972399.93,4194045.3670000006,756529.496,1816842.9120000002,2688180.542
2017-02-01,24645324.915,16632777.576,3866553.3430000003,658163.6080000001,1234785.209,2253045.1789999995
2017-03-01,26436139.773000002,18196152.147000004,4162368.210999999,653456.841,1278628.527,2145534.0470000003
2017-04-01,27731486.472000003,19220474.670999996,4164414.7199999997,823670.285,1506769.903,2016156.893
2017-05-01,26643534.572,17925111.425,4025262.253,901516.6099999999,1794243.73,1997400.554
2017-06-01,27725487.972000003,18562885.172000002,4090110.647,986593.047,1861319.6399999997,2224579.4660000005
2017-07-01,29747935.428999998,19838060.337,4403658.26,1013985.259,1960012.7510000002,2532218.8220000006
2017-08-01,29729984.775999997,19655752.992999997,4373437.178,772688.637,1846941.9150000003,3081164.053
2017-09-01,29008971.025000006,19908987.405,4492475.379000001,727601.497,1639334.111,2240572.633
2017-10-01,30879712.321000006,20599347.509,4656821.831,852250.275,2370142.556,2401150.15
2017-11-01,32182334.543999996,20920275.358,4772136.578,846141.113,2698227.8440000005,2945553.650999999
2017-12-01,38878651.419999994,25490487.786000002,4966952.273999999,1257676.243,2817697.965,4345837.152000001
2018-01-01,30808643.105,20121309.323,4753482.006,911343.8099999999,1967578.3450000004,3054929.6210000007
2018-02-01,30135794.685000002,20120312.656,4491149.313999999,886318.7490000001,1753642.121,2884371.845000001
2018-03-01,34753566.567999996,23863578.843,5084537.544999999,944406.836,2017668.6020000002,2843374.7420000006
2018-04-01,32489215.781,22127955.808999997,4803258.643999999,935793.8069999999,2139783.548,2482423.973
2018-05-01,33599789.246,21933854.697000004,4648222.032,1135687.6609999998,3337700.7590000005,2544324.097
2018-06-01,36507019.984000005,24022420.680000003,4889917.638,1409434.1169999999,3488981.4070000006,2696266.1419999995
2018-07-01,37443023.038,25338964.527000003,5279073.790000001,1343111.7980000002,2275552.916,3206320.0070000007
